序号,内容,情感,类别
1,巧了我也是,positive,1
2,来了来了,positive,1
3,看到标题我就想到隔壁舟游氪二百,positive,2
4,铲车人，集合,positive,3
5,热乎的！,positive,4
6,来了来了,positive,1
7,高产似那啥,negative,5
8,热乎,positive,4
9,已经凉了。。。,negative,4
10,来来,positive,6
11,我真的是等不了了呀,negative,7
12,热乎,positive,4
13,我真是等不了了啊,negative,7
14,我真的是等不了了啊,negative,7
15,我好饿,negative,8
16,暑假后第一桶,negative,9
17,有氪二百那味儿了,positive,2
18,我真的是等不了了呀,negative,7
19,jj,positive,1
20,我真的是等不了了呀！！,negative,7
21,哒哒哒,positive,1
22,铲车人集合,positive,3
23,我真的是等不了l 呀！,negative,7
24,热乎的,positive,4
25,我真的是等不了了啊,negative,7
26,meirenma,positive,1
27,封面离谱,positive,10
28,青铜破产慢报，大仙什么都不知道,negative,11
29,我真是是等不了了,negative,7
30,我真的是等不了了呀,negative,7
31,铲车人，集合,positive,3
32,把这个给他看,positive,12
33,我真的是等不了了呀！,negative,7
34,我真的是等不了了呀,negative,7
35,我真的是等不了了,negative,7
36,青铜破产慢报，小仙什么也不知道,negative,11
37,就斤斤计较,positive,13
38,凉透了,negative,4
39,我真的等不及了了,negative,7
40,2020中考加油！！！金榜题名,positive,14
41,哒哒哒哒哒,positive,1
42,E1,positive,15
43,有人吗,positive,6
44,那些年致命魔术,negative,16
45,噢噢噢噢,positive,1
46,芜湖那个是广西得咩,positive,17
47,妈诶不热乎了,negative,4
48,我真的受不了了呀,negative,18
